CAVEaT Item,CCM Control Title,CCM Control ID,Justification
"IAM Abuse(version 1.0)",Identity & Access Management,IAM-01,"IAM abuse in CAVEaT directly relates to CCM's control for establishing IAM policies and procedures."
"Implant Container Image(version 1.0)",Change Control and Configuration Management,CCC-01,"CAVEaT discusses implanting container images, which could be prevented through CCM's change management policies for assessing risks of changes to systems and assets."
"Insertion of Sensitive Information into Log File (combined with Collection from Cloud Logs)(version 1.0)",Logging and Monitoring,LOG-09,"Both CAVEaT and CCM entries discuss protecting sensitive information in logs - CAVEaT is about adversaries inserting sensitive data, while CCM requires protecting logs from unauthorized access."
"Kubernetes API Abuse(version 1.0)",Infrastructure & Virtualization Security,IVS-04,"CAVEaT discusses exploiting Kubernetes APIs, which can be mitigated by hardening and security baselining for infrastructures as required by CCM."
"Leveraging Cloud Shells(version 1.0)",Identity & Access Management,IAM-09,"CAVEaT discusses misusing cloud shells, which often have high privileges. CCM requires segregating privileged access roles to mitigate this risk."
"Leveraging SaaS Applications(version 1.0)",Interoperability & Portability,IPY-03,"CAVEaT mentions using SaaS for C2, which could be mitigated by CCM's control requiring secure protocols for interoperability and portability of data."
"Loss of Availability(version 1.0)",Business Continuity Management and Operational Resilience,BCR-01,"Loss of availability in CAVEaT is directly related to CCM's policies and procedures for business continuity and operational resilience."
"Loss of Reputation/Value(version 1.0)","Governance, Risk and Compliance",GRC-01,"Loss of reputation/value in CAVEaT is a governance issue and should be included in CCM's information governance program policies and procedures."
"Manipulate Cloud Configuration(version 1.0)",Change Control and Configuration Management,CCC-01,"CAVEaT discusses manipulating cloud configurations, which falls under CCM's policies and procedures for change management and risks associated with changes."
"Manipulating CI/CD Pipeline(version 1.0)",Change Control and Configuration Management,CCC-02,"CAVEaT is about CI/CD pipeline manipulation, which would be prevented by CCM's control requiring a defined quality change control, testing, and release process."
"Network Service Scanning(version 1.0)",Threat & Vulnerability Management,TVM-01,"CAVEaT discusses network scanning, which is a threat that CCM's vulnerability management policies and procedures aim to identify and protect against."
"Network Share Discovery(version 1.0)",Datacenter Security,DCS-06,"CAVEaT discusses discovering network shares, which could be tracked as part of CCM's control requiring cataloging and tracking all relevant assets."
"Permission Groups Discovery(version 1.0)",Identity & Access Management,IAM-03,"Permission group discovery in CAVEaT relates to CCM's control about managing and reviewing information on system identities and access levels."
"Port Knocking – C&C(version 1.1)",Threat & Vulnerability Management,TVM-05,"CAVEaT discusses using port knocking for C2, which takes advantage of firewalls. CCM requires identifying updates for apps using third-party libraries, which often handle firewall rules."
"Redundant Access(version 1.0)",Identity & Access Management,IAM-09,"Redundant access in CAVEaT often involves segregated privileged access, which CCM's control aims to prevent."
Registering Apps(version 1.0),Application & Interface Security,AIS-01,"Registering malicious apps in CAVEaT can be prevented through the application security policies and procedures required by CCM."
Remote Code Execution(version 1.1),Change Control and Configuration Management,CCC-04,"CAVEaT discusses remote code execution, which could be enabled by unauthorized changes that CCM restricts."
"Resource Hijacking(version 1.0)",Infrastructure & Virtualization Security,IVS-01,"Resource hijacking in CAVEaT is an infrastructure security issue covered by CCM's policies and procedures for this domain."
"Revert Cloud Instance(version 1.0)",Infrastructure & Virtualization Security,IVS-07,"Reverting cloud instances in CAVEaT to remove evidence of compromise bypasses secure migration procedures that CCM requires."
"S3/Blob Manipulation(version 1.0)",Threat & Vulnerability Management,TVM-03,"Adversaries modifying S3/blob data in CAVEaT is a vulnerability that requires establishing a remediation schedule as per CCM."
"Sensitive Information Exposed on A Public Platform(version 1.0)",Data Security and Privacy Lifecycle Management,DSP-01,"CAVEaT discusses sensitive data exposure on public platforms, while CCM specifies policies for protecting data throughout its lifecycle."
"Managed Identities/Service Principals(version 1.0)",Identity & Access Management,IAM-01,"CAVEaT discusses abusing managed identities, which CCM's IAM policies and procedures aim to secure."
"Stealing Valid Credentials from Local Machines(version 1.0)",Threat & Vulnerability Management,TVM-03,"CAVEaT is about stealing credentials, which is a vulnerability that requires a defined remediation process as per CCM."
"System (VM) Information Discovery(version 1.1)",Infrastructure & Virtualization Security,IVS-09,"CAVEaT discusses discovering system/VM info, which CCM mitigates through its control on defense-in-depth techniques to protect against attacks."
"System Network Connections Discovery(version 1.0)",Infrastructure & Virtualization Security,IVS-08,"Network connection discovery in CAVEaT involves identifying and documenting high-risk environments, as required by CCM."
"Tagging Falsely(version 1.0)",Change Control and Configuration Management,CCC-02,"Falsely tagging cloud resources in CAVEaT subverts change and configuration management processes, so it aligns with CCM's control in this area."
"Transfer Data to Cloud Account in Same CSP(version 1.0)",Interoperability & Portability,IPY-04,"CAVEaT outlines exfiltrating data between cloud accounts of the same CSP. CCM specifies that agreements should include data portability and deletion terms when transferring between CSPs/CSCs."
"Trusted Relationship(version 1.0)","Supply Chain Management, Transparency, and Accountability",STA-03,"CAVEaT discusses exploiting trusted relationships, which can occur in the supply chain. CCM requires CSPs to provide guidance detailing the shared security model throughout the supply chain."
"Unencrypted Network Traffic(version 1.0)","Cryptography, Encryption & Key Management",CEK-03,"Unencrypted traffic mentioned in CAVEaT can be addressed through CCM's control requiring cryptographic protection of data in-transit."
"Unused (Unsupported) Cloud Regions(version 1.0)",Logging and Monitoring,LOG-03,"Using unused cloud regions to evade detection in CAVEaT can be mitigated by CCM's control to monitor security events and generate alerts."
"Utilize Breach Replay(version 1.0)",Universal Endpoint Management,UEM-09,"Utilizing previous breaches for attacks as described in CAVEaT can be mitigated by CCM's control to configure endpoints with anti-malware prevention and detection."
"Weak Passwords(version 1.0)",Identity & Access Management,IAM-01,"Weak passwords discussed in CAVEaT can be mitigated through the strong password policies required in CCM's IAM section."
"Exfiltrating Using Web Servers(version 1.0)",Logging and Monitoring,LOG-07,"Web servers being used for data exfiltration in CAVEaT can potentially be caught by logging events according to CCM's defined scope, which should cover web servers."
"White Listing(version 1.0)",Infrastructure & Virtualization Security,IVS-09,"CAVEaT discusses whitelisting to evade detection, which can be addressed by the defense-in-depth techniques for timely attack response required by CCM."
